title,url,domain,seendate,country_query,language,source,source_country
प्रधानसेनापति सिग्देल चीन प्रस्थान,https://ekantipur.com/politics/2026/09/13/army-chief-sigdel-departs-for-china-28-46.html,ekantipur.com,2026-09-13 09:15:00+00:00,China military,Nepali,gdelt_gkg,Nepal
"9 / 11 हमले को लेकर 25 साल बाद CIA का बड़ा खुलासा , हमले से सालों पहले ही लादेन के निशाने पर था भारत !",https://hindi.oneindia.com/news/international/osama-bin-laden-targeted-india-before-911-cia-declassified-documents-1647713.html,hindi.oneindia.com,2026-09-13 09:15:00+00:00,Pakistan military,Hindi,gdelt_gkg,India
Korea nuclear - powered submarines could take on broader Indo - Pacific role,https://www.koreatimes.co.kr/southkorea/defense/20260913/koreas-nuclear-powered-submarines-could-take-on-broader-indo-pacific-role,koreatimes.co.kr,2026-09-13 09:15:00+00:00,China military,English,gdelt_gkg,South Korea
"Различие путей : почему Глобальный Юг отказывается идти вместе с москвой | Новости державы в Харькове , Украине . Весь Харьков",http://allkharkov.ua/news/state/razlichie-pytei-pochemy-globalnyi-ug-otkazyvaetsia-idti-vmeste-s-moskvoi.html,allkharkov.ua,2026-09-13 09:15:00+00:00,China military,Russian,gdelt_gkg,Ukraine
"BRICS Leaders Raise Concern Over Attacks On Civilian , Nuclear Facilities",https://www.deccanchronicle.com/nation/current-affairs/brics-leaders-raise-concern-over-attacks-on-civilian-nuclear-facilities-1987183,deccanchronicle.com,2026-09-13 09:15:00+00:00,China military,English,gdelt_gkg,India
Francuski portal : Makron u odnosu na Srbiju ide u kontra smeru od EU,https://www.danas.rs/vesti/politika/francuski-portal-makron-u-odnosu-na-srbiju-ide-u-kontra-smeru-od-eu/,danas.rs,2026-09-13 09:15:00+00:00,China military,Serbian,gdelt_gkg,Serbia
Myanmar says UN envoy illegitimate ahead of credentials decision,https://www.freemalaysiatoday.com/category/world/2026/09/13/myanmar-says-un-envoy-illegitimate-ahead-of-credentials-decision,freemalaysiatoday.com,2026-09-13 09:15:00+00:00,China military,English,gdelt_gkg,Malaysia
EEUU asegura haber redirigido un centenar de buques comerciales en Ormuz durante los últimos dos meses,https://www.europapress.es/internacional/noticia-eeuu-asegura-haber-redirigido-centenar-buques-comerciales-ormuz-ultimos-dos-meses-20260913102759.html,europapress.es,2026-09-13 09:00:00+00:00,Pakistan military,Spanish,gdelt_gkg,Spain
Arab News | Myanmar says UN envoy illegitimate ahead of credentials decision,https://www.arabnews.com/world/myanmar-says-un-envoy-illegitimate-ahead-of-credentials-decision-3001534,arabnews.com,2026-09-13 08:45:00+00:00,China military,English,gdelt_gkg,Saudi Arabia
"Léon XIV , un pape américain face à Donald Trump . T . TANASE",https://www.diploweb.com/I-Un-pape-americain-face-a-Donald-Trump.html,diploweb.com,2026-09-13 08:45:00+00:00,China military,French,gdelt_gkg,Russia
"9 / 11 ਹਮਲੇ ਦੇ 25 ਸਾਲ ਬਾਅਦ ਅਮਰੀਕਾ ਦਾ ਵੱਡਾ ਦਾਅਵਾ , ਅਫ਼ਗਾਨਿਸਤਾਨ ਚ ਮੁੜ ਸਰਗਰਮ ਹੋਏ ਅੱਤਵਾਦੀ ਕੈਂਪ ; ਅਲ - ਕਾਇਦਾ ਨੇ ਮਜ਼ਬੂਤ ਕੀਤਾ ਨੈੱਟਵਰਕ - Major claim by the US 25 years after the 9 11 attacks Terrorist camps have become active again in Afghanistan Al Qaeda h...",https://www.punjabijagran.com/world/other-country-major-claim-by-the-us-25-years-after-the-9-11-attacks-terrorist-camps-have-become-active-again-in-afghanistan-al-qaeda-has-strengthened-its-network-9680966.html,punjabijagran.com,2026-09-13 08:45:00+00:00,China military,Punjabi,gdelt_gkg,
"Business . Scoop » On The Strike By 10 , 000 Public Servants",https://business.scoop.co.nz/2026/09/13/on-the-strike-by-10000-public-servants/,business.scoop.co.nz,2026-09-13 08:45:00+00:00,China military,English,gdelt_gkg,New Zealand
One Reportedly Killed After Iranian Commercial Vessel Hit Near Qeshm,http://www.israelherald.com/news/279304278/one-reportedly-killed-after-iranian-commercial-vessel-hit-near-qeshm,israelherald.com,2026-09-13 08:45:00+00:00,China military,English,gdelt_gkg,Israel
Haftanın tarihine bakış,https://www.haberler.com/guncel/haftanin-tarihine-bakis-20232730-haberi/,haberler.com,2026-09-13 08:45:00+00:00,China military,Turkish,gdelt_gkg,Turkey
